word,word_normalized,num_raw_variants
sásɛ́,álɛ́,6
alɛ̀,álɛ́,6
álɛ̌,álɛ́,6
amàðìt̪ɔ̀,ámàcìt̪ɔ̀,1
àmànɔ́,ámànú,1
ámácí,ámácí,2
ámácíì,ámácí,2
ámál,ámál,2
ámàl,ámál,2
ámálá,ámálá,2
ámálà,ámálá,2
ámálɛ́,ámálɛ́,1
ámíɲí,ámíɲí,1
ámúðɛ́,ámúðɛ́,1
ámɔ̀rðɛ̀,ámɔ̀nɛ̀,1
ámə̀rðɛ̀,ámɛ̀rðɔ́,1
ámə̀ɾðà,ámɛ̀ɾðɔ́,1
ámɔ́ŋnɔ́,ám̀ɔ́ŋú,1
àníŋí,ánìjí,6
ànìŋí,ánìjí,6
ánìŋǐ,ánìjí,6
ánìŋí,ánìjí,6
ánìŋì,ánìjí,6
ànìŋì,ánìjí,6
ánt̪ɔ́,ánìt̪ɔ́,1
ánó,ánó,14
ànʊ̀,ánó,14
ànú,ánó,14
nánó,ánó,14
ànáó,ánó,14
ánú,ánó,14
ánù,ánó,14
ánò,ánó,14
ànò,ánó,14
ànó,ánó,14
ano,ánó,14
ánô,ánó,14
ánɔ́,ánó,14
ánû,ánó,14
ɜ́ntɛ̀,ánt̪ɛ̀,2
ánt̪,ánt̪ɛ̀,2
ánóɟò,ánɔ̀nɔ́,1
àńɟɔ́,áǹɔ́,1
ánɔŋga,áǹɔ́ŋ,1
ànə́ŋú,áǹɔ́ŋú,2
ànúŋûĺ,áǹɔ́ŋú,2
ò,áò,10
áɛ,áò,10
âu,áò,10
áò,áò,10
âw,áò,10
áǒ,áò,10
aù,áò,10
âó,áò,10
̀ẁ̀,áò,10
ànáò,áò,10
áp,ápà,2
ápà,ápà,2
âprát̪à,ápàt̪à,2
pát̪à,ápàt̪à,2
ápátɛ̀,ápàt̪ɛ̀,1
pápìðì,ápìðì,1
àprílìdì,ápìðìjì,1
ápít̪í,ápíjí,1
ápít̪íŋí,ápít̪íjí,1
sápíð̀ò,ápíðó,1
ápɔ́,ápɔ́,2
ápɔ̀,ápɔ́,2
ávɛ̀,ápɛ̀,2
ápɛ̀,ápɛ̀,2
áprí,ápɾí,12
áprì,ápɾí,12
ápɾí,ápɾí,12
áprǐ,ápɾí,12
áprî,ápɾí,12
ðáprí,ápɾí,12
ápɾì,ápɾí,12
láprí,ápɾí,12
ápri,ápɾí,12
ápɾ,ápɾí,12
ápr,ápɾí,12
apri,ápɾí,12
ápɾíɲà,ápɾíɲá,11
ápríɲâ,ápɾíɲá,11
ápɾíɲá,ápɾíɲá,11
áprìɲà,ápɾíɲá,11
apriná,ápɾíɲá,11
ápɾíŋà,ápɾíɲá,11
ápríɲá,ápɾíɲá,11
ápɾíɲ,ápɾíɲá,11
ápɾìɲá,ápɾíɲá,11
ápɾìɲà,ápɾíɲá,11
ápɾíɲâá,ápɾíɲá,11
ávé,áré,6
áré,áré,6
árè,áré,6
árɛ́,áré,6
ár,áré,6
âré,áré,6
árt̪ɔ́,árìt̪ɔ́,3
àrt̪ɔ́,árìt̪ɔ́,3
árt̪ɔ̀,árìt̪ɔ́,3
ʃárɔ̀nʊ́,ár̀nɔ́,1
ʃárɔ̀nŋʊ́,ár̀nɔ́ŋú,1
ásà,ásá,4
ákɛsa,ásá,4
ásá,ásá,4
ásǎ,ásá,4
àt̪,át̪ú,2
ɜit̪o,át̪ú,2
àt̪áŋ,át̪úŋ,1
áɾt̪ɔ́,át̪ɔ́,4
ât̪ɔ́,át̪ɔ́,4
àít̪ɔ́,át̪ɔ́,4
áít̪ɔ́,át̪ɔ́,4
áór,áúr,3
áòr,áúr,3
áúr,áúr,3
avan,ávàn,6
vɽân,ávàn,6
ávàn,ávàn,6
áván,ávàn,6
vɽàn,ávàn,6
vɽàň,ávàn,6
hágàrú,ávàrú,3
ágàrǔ,ávàrú,3
ágàrù,ávàrú,3
ávt̪ɔ́,ávt̪ɔ́,1
áŋtɛ́,ávt̪ɛ̀,1
ágɛ́là,ávə̀là,2
ɛ́və̀là,ávə̀là,2
álɛ́làŕ,ávə̀làŕ,1
ávə̀lɛ̀ðìnɔ́,ávə̀lɛ̀ðìnɔ́,1
ávə̀lɛ̀ðɛ́ɲáɾɛ́,ávə̀lɛ̀ðɔ́éɲárɛ́,4
