index,word,token_count,lemma,phrase_count
2358,lùrɔ̀,14,ur,5
2359,lə́r̀lɛ̀ɲì,1,rlɛɲ,1
2360,ðə́vɔ́ɽɔ́,6,vɜɽ,2
2361,nádám,7,àdám,2
2362,ðə́dɔ́ŋðá,7,dɔŋð,2
2363,nálɛ́,31,âl,11
2364,èdɛ̀ɽì,37,ðə̀ðɛ̀ɽì,12
2365,ðàɾáló,2,aɾ,1
2366,lɛ̀rdì,10,ɛrd,3
2367,t̪ɔ̀ɾt̪ɔ́l,11,aɾt̪,3
2368,lɛ̀rdà,4,ɛrd,1
2369,làbùðɛ̀,3,abuð,1
2370,lùɽcì,4,uɽc,1
2371,və̀lɛ̀ðìjí,7,vəlɛð-ij,3
2372,édɛ̀ɽì,20,ðə̀ðɛ̀ɽì,9
2373,ðə́vŕðɔ́,6,vrð,2
2374,ɲàvə̀lɛ̀ðɔ́,3,vəlɛð,1
2375,və́lɛ̀ðìjɔ̀,2,vəlɛð-ij,1
2376,t̪áŋì,16,aŋ,8
2377,və̀lɛ̀ðìjɔ́,2,vəlɛð-ij,1
2378,ðírcə́cɔ́,7,ircəc,4
2379,ŋìrcə̀cɔ̀,2,ircəc,1
2380,jə́və̀lɛ̀ðáló,1,vəlɛð,1
2381,jɔ́rǹɔ́,3,ɔrn,1
2382,lə́və̀lɛ̀ðɔ́l,1,vəlɛð,1
2383,lə́və̀lɛ̀ðáló,2,vəlɛð,1
2384,lápìŋnúl,3,ap-in,1
2385,kə́ðìŋnúl,13,ð-in,8
2386,ɛ́nɔ̌,4,ɛ́<CL>ɔ̌,3
2387,nɔ̀rǹɔ́,2,ɔrn,1
2388,lùɽcà,3,uɽc,1
2389,ŋíðɔ̀,8,ið,2
2390,ɜ́nì,7,ɜ̀nì,3
2391,lə̀ŋàŋɛ̀,3,ŋaŋ,1
2392,lə̀ŋàŋà,3,ŋaŋ,1
2393,àɾt̪ìjí,9,aɾt̪-ij,2
2394,ðɛ́rdà,16,ɛrd,5
2395,làwó,6,aw,3
2396,láwì,5,aw,1
2397,láwà,3,aw,2
2398,áɾt̪ínɔ́,5,aɾt̪-in,2
2399,lə̀wàjì,4,waj,1
2400,lə̀wàjà,13,waj,5
